breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan
American Staffordshire Terrier,https://www.dogbreedslist.info//all-dog-breeds/american-staffordshire-terrier.html,#82,No,34,Prices: $1500 - $2500,Lifespan: 12-14 years
Rat Terrier,https://www.dogbreedslist.info//all-dog-breeds/rat-terrier.html,#83,No,-,Prices: $600 - $1200,Lifespan: 15-18 years
Chow Chow,https://www.dogbreedslist.info//all-dog-breeds/chow-chow.html,#84,No,76,Prices: $1200 - $2000,Lifespan: 13-15 years
Anatolian Shepherd Dog,https://www.dogbreedslist.info//all-dog-breeds/anatolian-shepherd-dog.html,#85,No,-,Prices: $800 - $1200,Lifespan: 10-13 years
Basenji,https://www.dogbreedslist.info//all-dog-breeds/basenji.html,#86,No,78,Prices: $1500 - $2000,Lifespan: 12-15 years
Boykin Spaniel,https://www.dogbreedslist.info//all-dog-breeds/boykin-spaniel.html,#87,No,-,Prices: $700 - $1200,Lifespan: 14-16 years
Lagotto Romagnolo,https://www.dogbreedslist.info//all-dog-breeds/lagotto-romagnolo.html,#88,Yes,-,Prices: $3000 - $5000,Lifespan: 14-16 years
Brussels Griffon,https://www.dogbreedslist.info//all-dog-breeds/brussels-griffon.html,#89,Yes,-,Prices: $1800 - $2800,Lifespan: 12-15 years
Nova Scotia Duck Tolling Retriever,https://www.dogbreedslist.info//all-dog-breeds/tolling-retriever.html,#90,No,-,Prices: $1500 - $2500,Lifespan: 12-14 years
Norwegian Elkhound,https://www.dogbreedslist.info//all-dog-breeds/norwegian-elkhound.html,#91,No,36,Prices: $700 - $1500,Lifespan: 10-12 years
Standard Schnauzer,https://www.dogbreedslist.info//all-dog-breeds/standard-schnauzer.html,#92,Yes,18,Prices: $1500 - $2500,Lifespan: 12-15 years
Dogo Argentino,https://www.dogbreedslist.info//all-dog-breeds/argentine-dogo.html,#93,No,-,Prices: $1500 - $2500,Lifespan: 10-12 years
Bouvier des Flandres,https://www.dogbreedslist.info//all-dog-breeds/bouvier-des-flanders.html,#94,Yes,29,Prices: $1500 - $2500,Lifespan: 10-12 years
Pekingese,https://www.dogbreedslist.info//all-dog-breeds/pekingese.html,#95,No,73,Prices: $1500 - $3000,Lifespan: 13-15 years
Keeshond,https://www.dogbreedslist.info//all-dog-breeds/keeshond.html,#96,No,16,Prices: $1500 - $2000,Lifespan: 12-14 years
Border Terrier,https://www.dogbreedslist.info//all-dog-breeds/border-terrier.html,#97,Yes,30,Prices: $800 - $1500,Lifespan: 12-15 years
Leonberger,https://www.dogbreedslist.info//all-dog-breeds/leonberger.html,#98,No,-,Prices: $2000 - $4000,Lifespan: 8-10 years
Tibetan Terrier,https://www.dogbreedslist.info//all-dog-breeds/tibetan-terrier.html,#99,Yes,62,Prices: $1500 - $2500,Lifespan: 12-15 years
Neapolitan Mastiff,https://www.dogbreedslist.info//all-dog-breeds/neapolitan-mastiff.html,#100,No,-,Prices: $2500 - $4500,Lifespan: 9-10 years
English Setter,https://www.dogbreedslist.info//all-dog-breeds/english-setter.html,#101,No,37,Prices: $1000 - $1500,Lifespan: 10-12 years
Flat-Coated Retriever,https://www.dogbreedslist.info//all-dog-breeds/flat-coated-retriever.html,#102,No,18,Prices: $1500 - $3000,Lifespan: 10-13 years
Borzoi,https://www.dogbreedslist.info//all-dog-breeds/borzoi.html,#103,No,75,Prices: $1500 - $3000,Lifespan: 10-12 years
Wire Fox Terrier,https://www.dogbreedslist.info//all-dog-breeds/wire-fox-terrier.html,#104,Yes,51,Prices: $1500 - $3000,Lifespan: 12-14 years
Miniature Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/miniature-bull-terrier.html,#105,No,66,Prices: $2500 - $3500,Lifespan: 10-12 years
Belgian Tervuren,https://www.dogbreedslist.info//all-dog-breeds/belgian-shepherd-tervuren.html,#106,No,14,Prices: $1500 - $2000,Lifespan: 10-12 years
Gordon Setter,https://www.dogbreedslist.info//all-dog-breeds/gordon-setter.html,#107,No,34,Prices: $1000 - $2000,Lifespan: 10-12 years
